cyprinodon_variegatus ENSCVAG00000021726
fundulus_heteroclitus ENSFHEG00000019057
poecilia_formosa ENSPFOG00000000227
poecilia_reticulata ENSPREG00000018602
poecilia_mexicana ENSPMEG00000023265
xiphophorus_couchianus ENSXCOG00000020383
gambusia_affinis ENSGAFG00000007083
kryptolebias_marmoratus ENSKMAG00000003256
oryzias_melastigma ENSOMEG00000002028
amphiprion_percula ENSAPEG00000014854
amphiprion_ocellaris ENSAOCG00000002833
stegastes_partitus ENSSPAG00000000892
maylandia_zebra ENSMZEG00005017917
pundamilia_nyererei ENSPNYG00000004324
neolamprologus_brichardi ENSNBRG00000004614
amphilophus_citrinellus ENSACIG00000001473
seriola_dumerili ENSSDUG00000022614
hippocampus_comes ENSHCOG00000009428
pygocentrus_nattereri ENSPNAG00000010696
