cricetulus_griseus_crigri_1.0 ENSCGRG00000004670
cricetulus_griseus_crigri-picr ENSCGRG00015019551
panthera_pardus ENSPPRG00000012128
chelonoidis_abingdonii ENSCABG00000000586
junco_hyemalis ENSJHYG00000005000
lonchura_striata_domestica ENSLSDG00000001163
microtus_ochrogaster ENSMOCG00000014464
nannospalax_galili ENSNGAG00000006097
jaculus_jaculus ENSJJAG00000007586
cavia_aperea ENSCAPG00000017402
cavia_porcellus ENSCPOG00000035207
propithecus_coquereli ENSPCOG00000016971
sus_scrofa ENSSSCG00000031734
calidris_pugnax ENSCPUG00000010869
calidris_pygmaea ENSCPGG00000002148
manacus_vitellinus ENSMVIG00005017670
pogona_vitticeps ENSPVIG00000016297
cyanistes_caeruleus ENSCCEG00000001588
serinus_canaria ENSSCAG00000014927
chrysemys_picta_bellii ENSCPBG00000022467
notechis_scutatus ENSNSUG00000016125
ursus_americanus ENSUAMG00000001177
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028365
dromaius_novaehollandiae ENSDNVG00000011533
panthera_tigris_altaica ENSPTIG00000005612
fukomys_damarensis ENSFDAG00000012926
ictidomys_tridecemlineatus ENSSTOG00000030692
dipodomys_ordii ENSDORG00000024592
microcebus_murinus ENSMICG00000044121
apteryx_owenii ENSAOWG00000005481
apteryx_rowi ENSARWG00000016955
apteryx_haastii ENSAHAG00000008349
numida_meleagris ENSNMEG00000007413
melopsittacus_undulatus ENSMUNG00000014507
coturnix_japonica ENSCJPG00005012501
lepidothrix_coronata ENSLCOG00000012346
callithrix_jacchus ENSCJAG00000048436
aotus_nancymaae ENSANAG00000022407
phascolarctos_cinereus ENSPCIG00000007924
parus_major ENSPMJG00000000878
