ictalurus_punctatus ENSIPUG00000021550
pygocentrus_nattereri ENSPNAG00000017682
poecilia_reticulata ENSPREG00000009120
cyprinodon_variegatus ENSCVAG00000012417
amphiprion_percula ENSAPEG00000007948
amphiprion_ocellaris ENSAOCG00000006780
acanthochromis_polyacanthus ENSAPOG00000001948
haplochromis_burtoni ENSHBUG00000015068
maylandia_zebra ENSMZEG00005017914
pundamilia_nyererei ENSPNYG00000012472
scophthalmus_maximus ENSSMAG00000020134
anabas_testudineus ENSATEG00000019235
mastacembelus_armatus ENSMAMG00000009221
periophthalmus_magnuspinnatus ENSPMGG00000023955
labrus_bergylta ENSLBEG00000023924
hippocampus_comes ENSHCOG00000003104
scleropages_formosus ENSSFOG00015001145
paramormyrops_kingsleyae ENSPKIG00000005365
