lepidothrix_coronata ENSLCOG00000015885
manacus_vitellinus ENSMVIG00005011953
taeniopygia_guttata ENSTGUG00000012950
lonchura_striata_domestica ENSLSDG00000000964
serinus_canaria ENSSCAG00000002918
junco_hyemalis ENSJHYG00000017415
zonotrichia_albicollis ENSZALG00000007977
cyanistes_caeruleus ENSCCEG00000001502
parus_major ENSPMJG00000001139
ficedula_albicollis ENSFALG00000007739
calidris_pygmaea ENSCPGG00000008558
calidris_pugnax ENSCPUG00000000035
meleagris_gallopavo ENSMGAG00000015233
coturnix_japonica ENSCJPG00005004187
gallus_gallus ENSGALG00000037072
numida_meleagris ENSNMEG00000019755
anser_brachyrhynchus ENSABRG00000009394
melopsittacus_undulatus ENSMUNG00000002580
apteryx_haastii ENSAHAG00000009573
apteryx_haastii ENSAHAG00000009582
apteryx_rowi ENSARWG00000010986
apteryx_owenii ENSAOWG00000001412
dromaius_novaehollandiae ENSDNVG00000001334
nothoprocta_perdicaria ENSNPEG00000003819
crocodylus_porosus ENSCPRG00005016161
gopherus_agassizii ENSGAGG00000007250
chelonoidis_abingdonii ENSCABG00000021660
chrysemys_picta_bellii ENSCPBG00000006821
pelodiscus_sinensis ENSPSIG00000003170
anolis_carolinensis ENSACAG00000001469
pogona_vitticeps ENSPVIG00000007440
notechis_scutatus ENSNSUG00000018611
salvator_merianae ENSSMRG00000007607
sphenodon_punctatus ENSSPUG00000006472
castor_canadensis ENSCCNG00000011189
dipodomys_ordii ENSDORG00000009418
ictidomys_tridecemlineatus ENSSTOG00000001632
spermophilus_dauricus ENSSDAG00000010931
urocitellus_parryii ENSUPAG00010017544
peromyscus_maniculatus_bairdii ENSPEMG00000024143
microtus_ochrogaster ENSMOCG00000020349
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017562
cricetulus_griseus_crigri-picr ENSCGRG00015010403
cricetulus_griseus_crigri_1.0 ENSCGRG00000013970
mesocricetus_auratus ENSMAUG00000021266
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000030613
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031099
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029989
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013209
rattus_norvegicus ENSRNOG00000009462
meriones_unguiculatus ENSMUGG00000006479
nannospalax_galili ENSNGAG00000018955
jaculus_jaculus ENSJJAG00000021476
jaculus_jaculus ENSJJAG00000023792
oryctolagus_cuniculus ENSOCUG00000026829
ochotona_princeps ENSOPRG00000004144
mandrillus_leucophaeus ENSMLEG00000033251
theropithecus_gelada ENSTGEG00000003691
macaca_mulatta ENSMMUG00000020154
macaca_fascicularis ENSMFAG00000034340
macaca_nemestrina ENSMNEG00000040708
cercocebus_atys ENSCATG00000042049
papio_anubis ENSPANG00000018014
chlorocebus_sabaeus ENSCSAG00000003693
rhinopithecus_bieti ENSRBIG00000010036
rhinopithecus_roxellana ENSRROG00000042243
colobus_angolensis_palliatus ENSCANG00000040866
piliocolobus_tephrosceles ENSPTEG00000034027
pan_troglodytes ENSPTRG00000004129
pan_paniscus ENSPPAG00000031300
homo_sapiens ENSG00000137500
gorilla_gorilla ENSGGOG00000009045
pongo_abelii ENSPPYG00000003736
nomascus_leucogenys ENSNLEG00000016478
colobus_angolensis_palliatus ENSCANG00000031642
piliocolobus_tephrosceles ENSPTEG00000014349
nomascus_leucogenys ENSNLEG00000034140
callithrix_jacchus ENSCJAG00000014547
callithrix_jacchus ENSCJAG00000022998
saimiri_boliviensis_boliviensis ENSSBOG00000031087
cebus_capucinus_imitator ENSCCAG00000019742
aotus_nancymaae ENSANAG00000027656
aotus_nancymaae ENSANAG00000029298
carlito_syrichta ENSTSYG00000011196
propithecus_coquereli ENSPCOG00000021879
microcebus_murinus ENSMICG00000038111
prolemur_simus ENSPSMG00000023573
otolemur_garnettii ENSOGAG00000006817
chinchilla_lanigera ENSCLAG00000015859
octodon_degus ENSODEG00000003995
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008669
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006091
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018495
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014010
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003963
fukomys_damarensis ENSFDAG00000017785
cavia_porcellus ENSCPOG00000011822
cavia_aperea ENSCAPG00000016752
marmota_marmota_marmota ENSMMMG00000006292
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001380
pan_troglodytes ENSPTRG00000051535
pan_paniscus ENSPPAG00000019521
gorilla_gorilla ENSGGOG00000043301
tupaia_belangeri ENSTBEG00000014665
erinaceus_europaeus ENSEEUG00000013110
sorex_araneus ENSSARG00000010150
ovis_aries ENSOARG00000005310
capra_hircus ENSCHIG00000023161
bos_mutus ENSBMUG00000010737
bos_taurus ENSBTAG00000007479
bison_bison_bison ENSBBBG00000019665
tursiops_truncatus ENSTTRG00000003998
sus_scrofa ENSSSCG00000014903
vicugna_pacos ENSVPAG00000007753
