ailuropoda_melanoleuca ENSAMEG00000018640
ursus_americanus ENSUAMG00000016431
mustela_putorius_furo ENSMPUG00000019721
mustela_putorius_furo ENSMPUG00000018364
mustela_putorius_furo ENSMPUG00000019722
mustela_putorius_furo ENSMPUG00000019723
canis_lupus_dingo ENSCAFG00020023403
vulpes_vulpes ENSVVUG00000028284
panthera_tigris_altaica ENSPTIG00000016448
panthera_tigris_altaica ENSPTIG00000008838
panthera_pardus ENSPPRG00000020136
felis_catus ENSFCAG00000041685
equus_caballus ENSECAG00000029401
equus_asinus_asinus ENSEASG00005020295
sus_scrofa ENSSSCG00000039744
sus_scrofa ENSSSCG00000032617
sus_scrofa ENSSSCG00000028385
sus_scrofa ENSSSCG00000033391
sus_scrofa ENSSSCG00000033227
sus_scrofa ENSSSCG00000032270
sus_scrofa ENSSSCG00000034451
sus_scrofa ENSSSCG00000036857
sus_scrofa ENSSSCG00000032331
fukomys_damarensis ENSFDAG00000017871
fukomys_damarensis ENSFDAG00000009849
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032951
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000063842
mus_spicilegus ENSMSIG00000023485
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031828
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014696
rattus_norvegicus ENSRNOG00000047835
rattus_norvegicus ENSRNOG00000047916
rattus_norvegicus ENSRNOG00000048711
rattus_norvegicus ENSRNOG00000030965
mus_spicilegus ENSMSIG00000023488
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000066905
rattus_norvegicus ENSRNOG00000049729
rattus_norvegicus ENSRNOG00000047533
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000110555
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000095448
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000058659
mus_spicilegus ENSMSIG00000003882
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032950
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032949
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000094678
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014695
rattus_norvegicus ENSRNOG00000049191
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016175
cricetulus_griseus_crigri_1.0 ENSCGRG00000018982
cricetulus_griseus_crigri-picr ENSCGRG00015023906
peromyscus_maniculatus_bairdii ENSPEMG00000028448
castor_canadensis ENSCCNG00000017185
dipodomys_ordii ENSDORG00000028586
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016400
cricetulus_griseus_crigri_1.0 ENSCGRG00000019986
cricetulus_griseus_crigri-picr ENSCGRG00015023963
meriones_unguiculatus ENSMUGG00000003068
nannospalax_galili ENSNGAG00000001806
castor_canadensis ENSCCNG00000004453
urocitellus_parryii ENSUPAG00010002426
loxodonta_africana ENSLAFG00000026595
loxodonta_africana ENSLAFG00000031373
loxodonta_africana ENSLAFG00000031006
loxodonta_africana ENSLAFG00000025710
loxodonta_africana ENSLAFG00000027788
loxodonta_africana ENSLAFG00000027974
loxodonta_africana ENSLAFG00000028813
loxodonta_africana ENSLAFG00000027953
