cynoglossus_semilaevis ENSCSEG00000018464
takifugu_rubripes ENSTRUG00000001366
oryzias_latipes_asm223469v1 ENSORLG00015012242
oryzias_latipes_asm223467v1 ENSORLG00000012166
oryzias_latipes_asm223471v1 ENSORLG00020011447
oryzias_melastigma ENSOMEG00000004860
kryptolebias_marmoratus ENSKMAG00000005494
amphiprion_percula ENSAPEG00000010400
acanthochromis_polyacanthus ENSAPOG00000008931
stegastes_partitus ENSSPAG00000011443
amphiprion_ocellaris ENSAOCG00000007324
amphiprion_ocellaris ENSAOCG00000007341
acanthochromis_polyacanthus ENSAPOG00000008871
xiphophorus_couchianus ENSXCOG00000008085
amphilophus_citrinellus ENSACIG00000016515
amphilophus_citrinellus ENSACIG00000016539
amphilophus_citrinellus ENSACIG00000016544
astatotilapia_calliptera ENSACLG00000008023
astatotilapia_calliptera ENSACLG00000008017
astatotilapia_calliptera ENSACLG00000011866
astatotilapia_calliptera ENSACLG00000001475
maylandia_zebra ENSMZEG00005011451
maylandia_zebra ENSMZEG00005028607
astatotilapia_calliptera ENSACLG00000008040
maylandia_zebra ENSMZEG00005000639
neolamprologus_brichardi ENSNBRG00000000784
maylandia_zebra ENSMZEG00005015550
haplochromis_burtoni ENSHBUG00000011721
neolamprologus_brichardi ENSNBRG00000010748
oreochromis_niloticus ENSONIG00000018999
gasterosteus_aculeatus ENSGACG00000000874
monopterus_albus ENSMALG00000020203
anabas_testudineus ENSATEG00000001197
seriola_dumerili ENSSDUG00000002558
seriola_lalandi_dorsalis ENSSLDG00000014370
mastacembelus_armatus ENSMAMG00000002106
mola_mola ENSMMOG00000020323
poecilia_formosa ENSPFOG00000022666
poecilia_latipinna ENSPLAG00000018449
gambusia_affinis ENSGAFG00000019265
xiphophorus_maculatus ENSXMAG00000007644
poecilia_formosa ENSPFOG00000004953
poecilia_mexicana ENSPMEG00000015383
xiphophorus_couchianus ENSXCOG00000002645
poecilia_latipinna ENSPLAG00000022809
poecilia_mexicana ENSPMEG00000015403
poecilia_latipinna ENSPLAG00000022789
cyprinodon_variegatus ENSCVAG00000010351
poecilia_reticulata ENSPREG00000004558
fundulus_heteroclitus ENSFHEG00000002695
acanthochromis_polyacanthus ENSAPOG00000017305
hippocampus_comes ENSHCOG00000011714
periophthalmus_magnuspinnatus ENSPMGG00000007409
labrus_bergylta ENSLBEG00000014586
scophthalmus_maximus ENSSMAG00000004036
gadus_morhua ENSGMOG00000000753
tetraodon_nigroviridis ENSTNIG00000005075
esox_lucius ENSELUG00000016011
ictalurus_punctatus ENSIPUG00000018632
ictalurus_punctatus ENSIPUG00000018617
pygocentrus_nattereri ENSPNAG00000018389
astyanax_mexicanus ENSAMXG00000038404
danio_rerio ENSDARG00000006754
latimeria_chalumnae ENSLACG00000003494
scleropages_formosus ENSSFOG00015001413
paramormyrops_kingsleyae ENSPKIG00000000298
notamacropus_eugenii ENSMEUG00000008420
phascolarctos_cinereus ENSPCIG00000029864
sarcophilus_harrisii ENSSHAG00000016108
monodelphis_domestica ENSMODG00000003574
oryctolagus_cuniculus ENSOCUG00000008137
ochotona_princeps ENSOPRG00000006206
tupaia_belangeri ENSTBEG00000012102
macaca_mulatta ENSMMUG00000008325
macaca_nemestrina ENSMNEG00000038758
macaca_fascicularis ENSMFAG00000036142
papio_anubis ENSPANG00000025248
theropithecus_gelada ENSTGEG00000013730
cercocebus_atys ENSCATG00000003737
mandrillus_leucophaeus ENSMLEG00000022742
chlorocebus_sabaeus ENSCSAG00000009472
rhinopithecus_roxellana ENSRROG00000038655
rhinopithecus_bieti ENSRBIG00000043980
colobus_angolensis_palliatus ENSCANG00000038991
piliocolobus_tephrosceles ENSPTEG00000013080
pan_paniscus ENSPPAG00000026839
pan_troglodytes ENSPTRG00000020808
gorilla_gorilla ENSGGOG00000004505
homo_sapiens ENSG00000171843
nomascus_leucogenys ENSNLEG00000017518
callithrix_jacchus ENSCJAG00000008994
cebus_capucinus_imitator ENSCCAG00000020702
saimiri_boliviensis_boliviensis ENSSBOG00000029045
aotus_nancymaae ENSANAG00000032095
microcebus_murinus ENSMICG00000035047
propithecus_coquereli ENSPCOG00000013614
prolemur_simus ENSPSMG00000004470
mus_spicilegus ENSMSIG00000022183
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027103
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028496
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026138
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028476
rattus_norvegicus ENSRNOG00000011280
meriones_unguiculatus ENSMUGG00000002849
peromyscus_maniculatus_bairdii ENSPEMG00000008739
