haplochromis_burtoni ENSHBUG00000008485
oryzias_latipes_asm223469v1 ENSORLG00015007852
seriola_dumerili ENSSDUG00000017384
seriola_lalandi_dorsalis ENSSLDG00000013851
scophthalmus_maximus ENSSMAG00000018870
monopterus_albus ENSMALG00000021727
poecilia_mexicana ENSPMEG00000009795
xiphophorus_maculatus ENSXMAG00000029214
maylandia_zebra ENSMZEG00005025007
pundamilia_nyererei ENSPNYG00000015731
astatotilapia_calliptera ENSACLG00000017538
neolamprologus_brichardi ENSNBRG00000011266
xiphophorus_maculatus ENSXMAG00000020898
poecilia_reticulata ENSPREG00000015987
gambusia_affinis ENSGAFG00000013751
neolamprologus_brichardi ENSNBRG00000016148
acanthochromis_polyacanthus ENSAPOG00000014849
amphiprion_percula ENSAPEG00000002230
stegastes_partitus ENSSPAG00000003529
labrus_bergylta ENSLBEG00000001837
anabas_testudineus ENSATEG00000005744
paramormyrops_kingsleyae ENSPKIG00000005347
