ictalurus_punctatus ENSIPUG00000005543
pygocentrus_nattereri ENSPNAG00000007351
seriola_dumerili ENSSDUG00000000294
scophthalmus_maximus ENSSMAG00000007353
hippocampus_comes ENSHCOG00000013325
mastacembelus_armatus ENSMAMG00000021743
takifugu_rubripes ENSTRUG00000025933
poecilia_mexicana ENSPMEG00000017574
poecilia_latipinna ENSPLAG00000005872
poecilia_reticulata ENSPREG00000022821
fundulus_heteroclitus ENSFHEG00000007039
cyprinodon_variegatus ENSCVAG00000010894
oryzias_latipes_asm223471v1 ENSORLG00020018906
oryzias_latipes_asm223467v1 ENSORLG00000027478
cynoglossus_semilaevis ENSCSEG00000005969
stegastes_partitus ENSSPAG00000007122
labrus_bergylta ENSLBEG00000020707
seriola_lalandi_dorsalis ENSSLDG00000020518
mola_mola ENSMMOG00000007819
acanthochromis_polyacanthus ENSAPOG00000016131
amphiprion_percula ENSAPEG00000013190
amphilophus_citrinellus ENSACIG00000021241
haplochromis_burtoni ENSHBUG00000008953
monopterus_albus ENSMALG00000003138
esox_lucius ENSELUG00000011781
paramormyrops_kingsleyae ENSPKIG00000016618
