mastacembelus_armatus ENSMAMG00000007116
monopterus_albus ENSMALG00000019356
anabas_testudineus ENSATEG00000002633
scophthalmus_maximus ENSSMAG00000016430
cynoglossus_semilaevis ENSCSEG00000013838
seriola_lalandi_dorsalis ENSSLDG00000007186
seriola_lalandi_dorsalis ENSSLDG00000008761
seriola_dumerili ENSSDUG00000003697
amphiprion_ocellaris ENSAOCG00000018548
amphiprion_percula ENSAPEG00000020515
acanthochromis_polyacanthus ENSAPOG00000019920
stegastes_partitus ENSSPAG00000013327
fundulus_heteroclitus ENSFHEG00000004732
cyprinodon_variegatus ENSCVAG00000004466
poecilia_formosa ENSPFOG00000016477
poecilia_mexicana ENSPMEG00000008343
poecilia_latipinna ENSPLAG00000005238
poecilia_reticulata ENSPREG00000020513
xiphophorus_maculatus ENSXMAG00000010460
xiphophorus_couchianus ENSXCOG00000001520
gambusia_affinis ENSGAFG00000017723
kryptolebias_marmoratus ENSKMAG00000018251
oryzias_latipes_asm223467v1 ENSORLG00000005397
oryzias_latipes_asm223471v1 ENSORLG00020004797
oryzias_latipes_asm223469v1 ENSORLG00015017575
oryzias_melastigma ENSOMEG00000019810
maylandia_zebra ENSMZEG00005010640
astatotilapia_calliptera ENSACLG00000002895
pundamilia_nyererei ENSPNYG00000021328
haplochromis_burtoni ENSHBUG00000002171
neolamprologus_brichardi ENSNBRG00000018953
oreochromis_niloticus ENSONIG00000004681
amphilophus_citrinellus ENSACIG00000003126
gasterosteus_aculeatus ENSGACG00000007359
labrus_bergylta ENSLBEG00000021989
takifugu_rubripes ENSTRUG00000015237
tetraodon_nigroviridis ENSTNIG00000009219
mola_mola ENSMMOG00000001241
hippocampus_comes ENSHCOG00000004994
gadus_morhua ENSGMOG00000019337
esox_lucius ENSELUG00000016379
pygocentrus_nattereri ENSPNAG00000009014
astyanax_mexicanus ENSAMXG00000002649
ictalurus_punctatus ENSIPUG00000022071
danio_rerio ENSDARG00000053906
scleropages_formosus ENSSFOG00015008279
paramormyrops_kingsleyae ENSPKIG00000024068
lepisosteus_oculatus ENSLOCG00000001647
anolis_carolinensis ENSACAG00000013072
anolis_carolinensis ENSACAG00000024793
pogona_vitticeps ENSPVIG00000005326
notechis_scutatus ENSNSUG00000019735
salvator_merianae ENSSMRG00000011666
salvator_merianae ENSSMRG00000017884
sphenodon_punctatus ENSSPUG00000000984
gopherus_agassizii ENSGAGG00000017072
chelonoidis_abingdonii ENSCABG00000015195
chrysemys_picta_bellii ENSCPBG00000018540
pelodiscus_sinensis ENSPSIG00000010432
crocodylus_porosus ENSCPRG00005018030
xenopus_tropicalis ENSXETG00000004379
latimeria_chalumnae ENSLACG00000017925
petromyzon_marinus ENSPMAG00000000222
